Entry,Entry Name,Gene Names,Protein names,Length,source_query,intended_gene,protac_validated,gene_symbol
Q96K19,RN170_HUMAN,RNF170,E3 ubiquitin-protein ligase RNF170 (EC 2.3.2.27) (Putative LAG1-interacting protein) (RING finger protein 170) (RING-type E3 ubiquitin transferase RNF170),258,direct_e3,,False,RNF170
Q96KE9,BTBD6_HUMAN,BTBD6 BDPL,BTB/POZ domain-containing protein 6 (Lens BTB domain protein),538,"btb_socs,direct_e3",,False,BTBD6
Q96L50,LLR1_HUMAN,LRR1 PPIL5,Leucine-rich repeat protein 1 (4-1BB-mediated-signaling molecule) (4-1BBlrr) (LRR-repeat protein 1) (LRR-1) (Peptidylprolyl isomerase-like 5),414,direct_e3,,False,LRR1
Q96LD4,TRI47_HUMAN,TRIM47 GOA RNF100,E3 ubiquitin-protein ligase TRIM47 (EC 2.3.2.27) (Gene overexpressed in astrocytoma protein) (RING finger protein 100) (Tripartite motif-containing protein 47),638,direct_e3,,False,TRIM47
Q96LR5,UB2E2_HUMAN,UBE2E2 UBCH8,Ubiquitin-conjugating enzyme E2 E2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E2) (UbcH8) (Ubiquitin carrier protein E2) (Ubiquitin-protein ligase E2),201,direct_e3,,False,UBE2E2
Q96M02,CJ090_HUMAN,C10orf90 FATS,(E2-independent) E3 ubiquitin-conjugating enzyme FATS (EC 2.3.2.-) (Centrosomal protein C10orf90) (E2/E3 hybrid ubiquitin-protein ligase FATS) (Fragile-site associated tumor suppressor homolog) (FATS),699,direct_e3,,False,C10orf90
Q96JM7,LMBL3_HUMAN,L3MBTL3 KIAA1798 MBT1,Lethal(3)malignant brain tumor-like protein 3 (H-l(3)mbt-like protein 3) (L(3)mbt-like protein 3) (L3mbt-like 3) (MBT-1),780,direct_e3,,False,L3MBTL3
Q96FA3,PELI1_HUMAN,PELI1 PRISM,E3 ubiquitin-protein ligase pellino homolog 1 (Pellino-1) (EC 2.3.2.27) (Pellino-related intracellular-signaling molecule) (RING-type E3 ubiquitin transferase pellino homolog 1),418,direct_e3,,False,PELI1
Q96FW1,OTUB1_HUMAN,OTUB1 OTB1 OTU1 HSPC263,Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1),271,direct_e3,,False,OTUB1
Q96DX5,ASB9_HUMAN,ASB9,Ankyrin repeat and SOCS box protein 9 (ASB-9),294,"btb_socs,direct_e3,substrate_adapters",,False,ASB9
Q96BQ3,TRI43_HUMAN,TRIM43,Tripartite motif-containing protein 43,446,direct_e3,,False,TRIM43
Q96BR9,ZBT8A_HUMAN,ZBTB8A BOZF1,Zinc finger and BTB domain-containing protein 8A (BTB/POZ and zinc-finger domain-containing factor) (BTB/POZ and zinc-finger domains factor on chromosome 1) (BOZ-F1),441,btb_socs,,False,ZBTB8A
Q96C12,ARMC5_HUMAN,ARMC5,Armadillo repeat-containing protein 5,935,"direct_e3,substrate_adapters",,False,ARMC5
Q96CA5,BIRC7_HUMAN,BIRC7 KIAP LIVIN MLIAP RNF50 UNQ5800/PRO19607/PRO21344,Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)],298,direct_e3,,False,BIRC7
Q96CD0,FBXL8_HUMAN,FBXL8 FBL8,F-box/LRR-repeat protein 8 (F-box and leucine-rich repeat protein 8) (F-box protein FBL8),374,"direct_e3,f_box",,False,FBXL8
Q96CT2,KLH29_HUMAN,KLHL29 KBTBD9 KIAA1921,Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9),875,substrate_adapters,,False,KLHL29
Q96CX2,KCD12_HUMAN,KCTD12 C13orf2 KIAA1778 PFET1,BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain),325,btb_socs,,False,KCTD12
Q96D59,RN183_HUMAN,RNF183,E3 ubiquitin-protein ligase RNF183 (EC 2.3.2.27),192,direct_e3,,False,RNF183
Q96DE5,APC16_HUMAN,ANAPC16 C10orf104 CENP-27,Anaphase-promoting complex subunit 16 (APC16) (Cyclosome subunit 16),110,direct_e3,,False,ANAPC16
Q96DX4,RSPRY_HUMAN,RSPRY1 KIAA1972 UNQ328/PRO444,RING finger and SPRY domain-containing protein 1,576,direct_e3,,False,RSPRY1
Q96DX7,TRI44_HUMAN,TRIM44 DIPB,Tripartite motif-containing protein 44 (Protein DIPB),344,direct_e3,,False,TRIM44
Q96FV3,TSN17_HUMAN,TSPAN17 FBXO23 TM4SF17,Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17),270,f_box,,False,TSPAN17
Q96EE3,SEH1_HUMAN,SEH1L SEC13L SEH1,Nucleoporin SEH1 (GATOR2 complex protein SEH1) (Nup107-160 subcomplex subunit SEH1) (SEC13-like protein),360,direct_e3,,False,SEH1L
Q96EF6,FBX17_HUMAN,FBXO17 FBG4 FBX17 FBX26 FBXO26,F-box only protein 17 (F-box only protein 26),278,"direct_e3,f_box",,False,FBXO17
Q96EH8,NEUL3_HUMAN,NEURL3 LINCR,E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3),262,direct_e3,,False,NEURL3
Q96M61,MAGBI_HUMAN,MAGEB18,Melanoma-associated antigen B18 (MAGE-B18 antigen),343,direct_e3,,False,MAGEB18
Q96EP1,CHFR_HUMAN,CHFR RNF196,E3 ubiquitin-protein ligase CHFR (EC 2.3.2.27) (Checkpoint with forkhead and RING finger domains protein) (RING finger protein 196) (RING-type E3 ubiquitin transferase CHFR),664,direct_e3,,False,CHFR
Q96EQ8,RN125_HUMAN,RNF125,E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125) (T-cell RING activation protein 1) (TRAC-1),232,direct_e3,,False,RNF125
Q96EX2,RNFT2_HUMAN,RNFT2 TMEM118,E3 ubiquitin-protein ligase RNFT2 (RING finger and transmembrane domain-containing protein 2) (Transmembrane protein 118),444,direct_e3,,False,RNFT2
Q96F44,TRI11_HUMAN,TRIM11 RNF92,E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Protein BIA1) (RING finger protein 92) (Tripartite motif-containing protein 11),468,direct_e3,,False,TRIM11
Q96BM1,ANKR9_HUMAN,ANKRD9,Ankyrin repeat domain-containing protein 9,317,"direct_e3,substrate_adapters",,False,ANKRD9
Q96FN5,KIF12_HUMAN,KIF12,Kinesin-like protein KIF12,646,"direct_e3,substrate_adapters",,False,KIF12
Q96EP0,RNF31_HUMAN,RNF31 ZIBRA,E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.31) (HOIL-1-interacting protein) (HOIP) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31) (Zinc in-between-RING-finger ubiquitin-associated domain protein),1072,direct_e3,,False,RNF31
Q96PQ7,KLHL5_HUMAN,KLHL5,Kelch-like protein 5,755,substrate_adapters,,False,KLHL5
Q96M94,KLH15_HUMAN,KLHL15 KIAA1677,Kelch-like protein 15,604,"direct_e3,substrate_adapters",,False,KLHL15
Q9BSM1,PCGF1_HUMAN,PCGF1 NSPC1 RNF68,Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68),259,direct_e3,,False,PCGF1
Q9BQ87,TBL1Y_HUMAN,TBL1Y TBL1,"F-box-like/WD repeat-containing protein TBL1Y (Transducin beta-like protein 1Y) (Transducin-beta-like protein 1, Y-linked)",522,f_box,,False,TBL1Y
Q9BQ90,KLDC3_HUMAN,KLHDC3 PEAS,Kelch domain-containing protein 3 (Testis intracellular mediator protein),382,"direct_e3,substrate_adapters",,False,KLHDC3
Q9BQA1,MEP50_HUMAN,WDR77 MEP50 WD45 HKMT1069 Nbla10071,Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50),342,substrate_adapters,,False,WDR77
Q9BR09,NEUL2_HUMAN,NEURL2 C20orf163,Neuralized-like protein 2,285,direct_e3,,False,NEURL2
Q9BRZ2,TRI56_HUMAN,TRIM56 RNF109,E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING finger protein 109) (Tripartite motif-containing protein 56),755,direct_e3,,False,TRIM56
Q9BS18,APC13_HUMAN,ANAPC13,Anaphase-promoting complex subunit 13 (APC13) (Cyclosome subunit 13),74,direct_e3,,False,ANAPC13
Q9BSF8,BTBDA_HUMAN,BTBD10 GMRP1,BTB/POZ domain-containing protein 10 (Glucose metabolism-related protein 1),475,btb_socs,,False,BTBD10
Q9BSJ1,TRI51_HUMAN,TRIM51 SPRYD5,Tripartite motif-containing protein 51 (SPRY domain-containing protein 5),452,direct_e3,,False,TRIM51
Q9BSK4,FEM1A_HUMAN,FEM1A EPRAP,Protein fem-1 homolog A (FEM1a) (FEM1-alpha) (Prostaglandin E receptor 4-associated protein),669,"direct_e3,substrate_adapters",,False,FEM1A
Q9BSL1,UBAC1_HUMAN,UBAC1 GBDR1 KPC2 UBADC1,Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2),405,direct_e3,,False,UBAC1
Q9BT67,NFIP1_HUMAN,NDFIP1 N4WBP5 PSEC0192 PSEC0223,NEDD4 family-interacting protein 1 (Breast cancer-associated protein SGA-1M) (NEDD4 WW domain-binding protein 5) (Putative MAPK-activating protein PM13) (Putative NF-kappa-B-activating protein 164) (Putative NFKB and MAPK-activating protein),221,direct_e3,,False,NDFIP1
Q99942,RNF5_HUMAN,RNF5 G16 NG2 RMA1,E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (Ram1 homolog) (HsRma1),180,direct_e3,,False,RNF5
Q9BTE7,DCNL5_HUMAN,DCUN1D5 SCCRO5,DCN1-like protein 5 (DCNL5) (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5) (Squamous cell carcinoma-related oncogene 5),237,direct_e3,,False,DCUN1D5
Q9BTT4,MED10_HUMAN,MED10 L6 TRG17 TRG20,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Transformation-related gene 17 protein) (TRG-17) (Transformation-related gene 20 protein) (TRG-20),135,direct_e3,,False,MED10
Q9BUL5,PHF23_HUMAN,PHF23,PHD finger protein 23 (PDH-containing protein JUNE-1),403,direct_e3,,False,PHF23
Q9BUR4,TCAB1_HUMAN,WRAP53 TCAB1 WDR79,Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene) (WRAP53beta),548,direct_e3,,False,WRAP53
Q9BUZ4,TRAF4_HUMAN,TRAF4 CART1 MLN62 RNF83,TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83),470,direct_e3,,False,TRAF4
Q9BV68,RN126_HUMAN,RNF126,E3 ubiquitin-protein ligase RNF126 (EC 2.3.2.27) (RING finger protein 126),311,direct_e3,,False,RNF126
Q9BVG3,TRI62_HUMAN,TRIM62,E3 ubiquitin-protein ligase TRIM62 (EC 2.3.2.27) (Tripartite motif-containing protein 62),475,direct_e3,,False,TRIM62
Q9BVR0,HRC23_HUMAN,HERC2P3,Putative HERC2-like protein 3,1158,direct_e3,,False,HERC2P3
Q9BW61,DDA1_HUMAN,DDA1 C19orf58 PCIA1,DET1- and DDB1-associated protein 1 (Placenta cross-immune reaction antigen 1) (PCIA-1),102,"direct_e3,substrate_adapters",,False,DDA1
Q9BWF2,TRAIP_HUMAN,TRAIP RNF206 TRIP,E3 ubiquitin-protein ligase TRAIP (EC 2.3.2.27) (RING finger protein 206) (TRAF-interacting protein),469,direct_e3,,False,TRAIP
Q9BQ13,KCD14_HUMAN,KCTD14,BTB/POZ domain-containing protein KCTD14,255,btb_socs,,False,KCTD14
Q99728,BARD1_HUMAN,BARD1,BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1),777,direct_e3,,False,BARD1
Q96ME1,FXL18_HUMAN,FBXL18 FBL18,F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18),718,"direct_e3,f_box",,False,FBXL18
Q96PX1,RN157_HUMAN,RNF157 KIAA1917,E3 ubiquitin ligase RNF157 (EC 2.3.2.27) (RING finger protein 157) (RING-type E3 ubiquitin transferase RNF157),679,direct_e3,,False,RNF157
Q96MG7,NSE3_HUMAN,NSMCE3 HCA4 MAGEG1 NDNL2,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),304,direct_e3,,False,NSMCE3
Q96MG8,PCMD1_HUMAN,PCMTD1,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,357,"direct_e3,substrate_adapters",,False,PCMTD1
Q96MP8,KCTD7_HUMAN,KCTD7,BTB/POZ domain-containing protein KCTD7,289,btb_socs,,False,KCTD7
Q96MT1,RN145_HUMAN,RNF145,RING finger protein 145 (EC 2.3.2.27),663,direct_e3,,False,RNF145
Q96MU7,YTDC1_HUMAN,YTHDC1 KIAA1966 YT521,YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B),727,direct_e3,,False,YTHDC1
Q96NS5,ASB16_HUMAN,ASB16,Ankyrin repeat and SOCS box protein 16 (ASB-16),453,"btb_socs,direct_e3",,False,ASB16
Q96P09,BIRC8_HUMAN,BIRC8 ILP2,Baculoviral IAP repeat-containing protein 8 (Inhibitor of apoptosis-like protein 2) (IAP-like protein 2) (ILP-2) (Testis-specific inhibitor of apoptosis),236,direct_e3,,False,BIRC8
Q96PM5,ZN363_HUMAN,RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363,RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING finger protein 199) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363) (p53-induced RING-H2 protein) (hPirh2),261,direct_e3,,False,RCHY1
Q96PU4,UHRF2_HUMAN,UHRF2 NIRF RNF107,E3 ubiquitin-protein ligase UHRF2 (EC 2.3.2.27) (Np95/ICBP90-like RING finger protein) (Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2),802,direct_e3,,False,UHRF2
Q96PU5,NED4L_HUMAN,NEDD4L KIAA0439 NEDL3,E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2),975,direct_e3,,False,NEDD4L
Q96Q07,BTBD9_HUMAN,BTBD9 KIAA1880,BTB/POZ domain-containing protein 9,612,btb_socs,,False,BTBD9
Q99619,SPSB2_HUMAN,SPSB2 GRCC9 SSB2,SPRY domain-containing SOCS box protein 2 (SSB-2) (Gene-rich cluster protein C9),263,"btb_socs,direct_e3,substrate_adapters",,False,SPSB2
Q96Q27,ASB2_HUMAN,ASB2,Ankyrin repeat and SOCS box protein 2 (ASB-2),635,"btb_socs,direct_e3",,False,ASB2
Q96QT6,PHF12_HUMAN,PHF12 KIAA1523,PHD finger protein 12 (PHD factor 1) (Pf1),1004,substrate_adapters,,False,PHF12
Q96RE7,NACC1_HUMAN,NACC1 BTBD14B NAC1,Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B),527,btb_socs,,False,NACC1
Q96RU8,TRIB1_HUMAN,TRIB1 C8FW GIG2 TRB1,Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1),372,direct_e3,,False,TRIB1
Q96S15,WDR24_HUMAN,WDR24 C16orf21 JFP7,GATOR2 complex protein WDR24 (EC 2.3.2.27) (WD repeat-containing protein 24),790,direct_e3,,False,WDR24
Q96S21,RB40C_HUMAN,RAB40C RARL RASL8C,Ras-related protein Rab-40C (EC 3.6.5.2) (Rar-like protein) (Ras-like protein family member 8C) (SOCS box-containing protein RAR3),281,"btb_socs,direct_e3,substrate_adapters",,False,RAB40C
Q96S59,RANB9_HUMAN,RANBP9 RANBPM,Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7),729,direct_e3,,False,RANBP9
Q96SI1,KCD15_HUMAN,KCTD15,BTB/POZ domain-containing protein KCTD15 (Potassium channel tetramerization domain-containing protein 15),283,btb_socs,,False,KCTD15
Q96T88,UHRF1_HUMAN,UHRF1 ICBP90 NP95 RNF106,E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear zinc finger protein Np95) (HuNp95) (Nuclear protein 95) (hNp95) (RING finger protein 106) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1),793,direct_e3,,False,UHRF1
Q99496,RING2_HUMAN,RNF2 BAP1 DING HIPI3 RING1B,E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2),336,direct_e3,,False,RNF2
Q96BF6,NACC2_HUMAN,NACC2 BTBD14A NAC2 RBB,Nucleus accumbens-associated protein 2 (NAC-2) (BTB/POZ domain-containing protein 14A) (Repressor with BTB domain and BEN domain),587,btb_socs,,False,NACC2
Q96A37,RN166_HUMAN,RNF166,E3 ubiquitin-protein ligase RNF166 (EC 2.3.2.27) (RING finger protein 166) (RING-type E3 ubiquitin transferase RNF166),237,direct_e3,,False,RNF166
Q96BD6,SPSB1_HUMAN,SPSB1 SSB1,SPRY domain-containing SOCS box protein 1 (SSB-1),273,"btb_socs,direct_e3,substrate_adapters",,False,SPSB1
Q8NHY2,COP1_HUMAN,COP1 RFWD2 RNF200,E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2),731,direct_e3,,False,COP1
Q8NEA4,FBX36_HUMAN,FBXO36 FBX36,F-box only protein 36,188,"direct_e3,f_box",,False,FBXO36
Q8NEA9,GMCL2_HUMAN,GMCL2 GCL GMCL1L GMCL1P1,Germ cell-less protein-like 2 (Germ cell-less protein-like 1-like),526,direct_e3,,False,GMCL2
Q8NEE6,FXL13_HUMAN,FBXL13 DRC6 FBL13,F-box and leucine-rich repeat protein 13 (Dynein regulatory complex subunit 6) (F-box/LRR-repeat protein 13),735,"direct_e3,f_box",,False,FBXL13
Q8NEG5,ZSWM2_HUMAN,ZSWIM2 ZZZ2,E3 ubiquitin-protein ligase ZSWIM2 (EC 2.3.2.27) (MEKK1-related protein X) (MEX) (RING-type E3 ubiquitin transferase ZSWIM2) (ZZ-type zinc finger-containing protein 2) (Zinc finger SWIM domain-containing protein 2),633,direct_e3,,False,ZSWIM2
Q8NEZ5,FBX22_HUMAN,FBXO22 FBX22,F-box only protein 22 (F-box protein FBX22p44),403,"direct_e3,f_box",,False,FBXO22
Q8NFY9,KBTB8_HUMAN,KBTBD8 KIAA1842 TAKRP,Kelch repeat and BTB domain-containing protein 8 (T-cell activation kelch repeat protein) (TA-KRP),601,"direct_e3,substrate_adapters",,False,KBTBD8
Q8NFZ0,FBH1_HUMAN,FBH1 FBX18 FBXO18,F-box DNA helicase 1 (hFBH1) (EC 5.6.2.4) (DNA 3'-5' helicase 1) (F-box only protein 18),1043,"direct_e3,f_box",,False,FBH1
Q8NG06,TRI58_HUMAN,TRIM58,E3 ubiquitin-protein ligase TRIM58 (EC 2.3.2.27) (Protein BIA2) (RING-type E3 ubiquitin transferase TRIM58) (Tripartite motif-containing protein 58),486,direct_e3,,False,TRIM58
Q8NG27,PJA1_HUMAN,PJA1 RNF70,E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING finger protein 70) (RING-type E3 ubiquitin transferase Praja-1),643,direct_e3,,False,PJA1
