accession,n_domains,length_uniprot,n_disordered
Q96ME1,1,718,0
Q96PX1,0,679,3
Q96MG7,1,304,2
Q96MG8,0,357,1
Q96MP8,1,289,1
Q96MT1,0,663,1
Q96MU7,1,727,4
Q96NS5,1,453,0
Q96PM5,0,261,0
Q96PU4,2,802,3
Q96PU5,6,975,5
Q96Q07,2,612,1
Q99619,2,263,1
Q96Q27,2,635,0
Q96QT6,1,1004,7
Q96RE7,2,527,2
Q96RU8,1,372,2
Q96S15,0,790,0
Q96S21,1,281,1
Q96S59,3,729,2
Q96SI1,1,283,1
Q96T88,2,793,2
Q99496,0,336,1
Q96BF6,2,587,2
Q96A37,1,237,0
Q96BD6,2,273,0
Q8NHY2,0,731,2
Q8NEA4,1,188,0
Q8NEA9,1,526,1
Q8NEE6,1,735,1
Q8NEG5,0,633,0
Q8NEZ5,1,403,0
Q8NFY9,2,601,1
Q8NFZ0,2,1043,2
Q8NG06,1,486,0
Q8NG27,0,643,2
Q8NHG8,0,242,1
Q8NHM5,2,1336,4
Q8NHZ8,0,85,1
Q96B49,0,74,1
Q8NI29,2,283,1
Q8TB52,1,745,2
Q8TBB1,4,728,2
Q8TC41,0,542,2
Q8TCJ0,1,367,0
Q8TCQ1,0,289,1
Q8TDB6,0,740,3
Q8TEB1,0,546,2
Q8TEB7,1,428,1
Q8TEC5,3,729,4
Q8TEJ3,4,882,6
Q8NE65,1,375,0
Q8ND25,0,227,2
Q8ND24,0,703,4
Q8NCT1,0,418,0
Q8N6D2,0,247,0
Q8N726,0,132,1
Q8N7A1,0,406,0
Q8N7C3,1,437,0
Q8N7C7,1,305,0
Q8N7E2,0,425,2
Q8N7H5,0,531,2
Q8N806,0,425,1
Q8N8N0,0,203,0
Q8N961,1,1025,0
Q8N9I9,0,347,1
Q8N9V2,1,468,0
Q8N9V3,2,476,0
Q8NA82,0,808,4
Q8NAA5,0,344,2
Q8NAB2,2,612,0
Q8NBM4,1,344,0
Q8NC42,1,400,1
Q8NC69,1,237,0
Q8NCN4,0,708,4
Q8NCP5,1,570,3
Q8NCQ5,1,510,0
Q8TEL6,0,797,0
Q8TF61,1,875,3
Q8WU17,0,664,1
Q92466,0,427,1
Q92564,1,292,1
Q92574,0,1164,3
Q92624,0,585,0
Q92630,1,601,1
Q92834,0,1020,3
Q92990,0,594,0
Q93008,1,2554,4
Q93034,1,780,0
Q93074,0,2177,12
Q969H0,1,707,1
Q969K3,2,372,1
Q969K4,2,478,0
Q969M7,1,185,0
Q969P5,1,355,0
Q969Q1,1,353,1
Q969T4,1,207,1
Q969U6,1,566,0
Q969V5,0,352,0
Q96A44,2,273,1
Q96A61,0,297,0
Q96AX9,2,955,0
Q96B02,1,151,0
Q96B23,0,404,2
Q92541,1,710,4
Q8WZ73,2,363,1
Q8WUJ0,1,223,1
Q8WZ60,2,621,0
Q8WV16,0,495,1
Q8WV22,0,266,1
Q8WV44,1,630,3
Q8WVC0,0,666,3
Q8WVD3,1,245,1
Q8WVD5,0,230,0
Q8WVF5,1,259,1
Q8WVN8,1,375,1
Q8WVZ7,1,376,1
Q8WVZ9,1,684,2
Q8WWF5,1,429,1
Q8WWI1,3,1683,4
Q8WWX0,1,329,0
Q8WXH4,1,323,0
Q8WXH5,2,440,1
Q8WXH6,1,277,0
Q8WXI3,1,467,0
Q8WXJ9,1,295,0
Q8WXK1,1,588,0
Q8WXK3,1,278,0
Q8WXK4,1,309,0
Q8WY64,1,445,0
Q8WZ19,1,329,2
Q9BWX1,0,381,1
Q9BZY9,0,425,1
Q9BX70,1,525,1
Q9UKC9,1,423,0
Q9UDY6,1,481,0
Q9UDY8,3,824,1
Q9UF56,1,701,3
Q9UH77,2,587,0
Q9UH90,1,709,1
Q9UHC7,0,482,1
Q9UII4,1,1024,1
Q9UJ41,1,491,2
Q9UJ55,1,1249,11
Q9UJP4,2,597,1
Q9UJT9,1,491,1
Q9UJV3,3,735,0
Q9UJX2,0,597,0
Q9UJX3,0,565,1
Q9UJX4,0,755,0
Q9UJX5,0,808,0
Q9UJX6,0,822,1
Q9UK22,2,296,1
Q9UK96,1,956,1
Q9UK97,1,447,1
Q9UK99,2,471,1
Q9UKA1,1,691,0
Q9UKA2,1,621,0
Q9UBV8,5,284,1
Q9UBS8,1,474,0
Q9UBN7,0,1215,4
Q9P203,3,1132,3
Q9NYG5,0,84,0
Q9NYS7,1,404,1
Q9NZJ0,0,730,5
Q9NZS9,1,450,1
Q9P000,1,198,0
Q9P086,0,117,0
Q9P0J7,0,381,2
Q9P0N8,0,246,0
Q9P0P0,0,153,1
Q9P0U1,0,55,0
Q9P253,0,973,1
Q9UBI1,1,195,0
Q9P275,1,1123,4
Q9P2E8,0,410,3
Q9P2G1,1,1089,5
Q9P2G9,2,620,1
Q9P2J3,2,617,1
Q9P2K6,1,505,0
Q9P2N7,2,655,0
Q9P2P5,4,1572,4
Q9UBF1,1,373,1
Q9UBF6,0,113,1
Q9UKB1,1,542,0
Q9UKT4,1,447,1
Q9NXV2,1,234,1
Q9UKT5,1,387,0
Q9Y314,0,301,1
Q9Y385,1,318,1
Q9Y3C5,0,154,1
Q9Y3C7,0,131,0
Q9Y3I1,1,522,2
Q9Y4B4,2,1467,7
Q9Y4D8,1,3996,6
Q9Y4K3,1,522,0
Q9Y4L5,0,304,2
Q9Y4X5,0,557,1
Q9Y573,1,584,0
Q9Y574,1,426,0
Q9Y575,1,518,0
Q9Y576,1,335,0
Q9Y577,1,477,0
Q9Y597,1,815,2
Q9Y5U4,0,225,0
Q9Y5V3,1,778,5
Q9Y6G5,1,202,0
Q9Y6H5,0,919,6
Q9Y6I7,1,421,0
Q9Y6U7,0,377,1
Q9Y6Y0,2,642,1
Q9Y2X8,1,147,0
Q9Y2U9,0,406,0
Q9Y2M5,2,609,0
Q9UM11,0,496,3
Q9UKT7,1,428,1
Q9UKT8,1,454,0
Q9UKV5,1,643,3
Q9UL63,2,735,0
Q9ULK6,1,438,0
Q9ULT6,0,936,5
Q9ULT8,2,2610,11
Q9ULV8,1,474,1
Q9ULX5,1,631,0
Q9UM13,1,185,0
Q9Y2K7,2,1162,4
Q9UMS4,1,504,0
Q9UNE7,1,303,1
Q9UPN9,1,1127,6
Q9UPQ4,1,493,0
Q9UPQ7,2,1066,3
Q9Y239,2,953,0
Q9Y252,0,685,6
Q9Y297,1,605,0
Q9Y2E6,2,619,2
Q9Y2F9,2,522,1
Q9NYA1,1,384,0
Q9NXS3,1,571,0
Q9BY78,0,433,0
Q9H8W5,0,580,0
Q9H0C5,2,482,1
Q9H0F5,0,515,1
Q9H0F6,1,387,2
Q9H0H3,2,589,0
Q9H0M0,6,922,1
Q9H0X6,0,261,1
Q9H1A4,0,1944,3
Q9H1B7,0,796,3
Q9H270,0,941,0
Q9H2C0,2,597,0
Q9H2S5,1,420,0
Q9H2X6,1,1198,3
Q9H3F6,1,313,0
Q9H469,1,300,0
Q9H4M3,2,255,0
Q9H4P4,0,317,0
Q9H5I1,4,410,0
Q9H672,1,318,0
Q9H6Y7,1,350,1
Q9H765,1,288,0
Q9H7D7,2,661,2
Q9H832,1,354,2
Q9H871,2,391,0
Q9H0A8,1,199,0
Q9H040,1,489,2
Q9H000,0,416,1
Q9C026,3,710,0
Q9BYE7,0,350,1
Q9BYJ4,1,488,0
Q9BYM8,1,510,1
Q9BYV2,1,358,1
Q9BYV6,1,548,1
Q9BYZ6,2,727,2
Q9BZK7,2,514,1
Q9BZR9,0,551,0
Q8N653,2,840,0
Q9C019,1,465,0
Q9C029,1,511,0
Q9GZS3,0,305,0
Q9C030,1,488,0
Q9C035,1,493,0
Q9C037,1,500,0
Q9C040,0,744,1
Q9C0C7,0,1298,10
Q9C0C9,1,1292,7
Q9C0D3,0,744,0
Q9C0H6,1,718,1
Q9GZQ3,1,224,0
Q9GZR1,0,1112,5
Q9H8T0,1,292,1
Q9H920,0,327,0
Q9NXR7,0,383,0
Q9H992,0,704,7
Q9NSE2,2,258,1
Q9NTX7,1,359,1
Q9NV06,0,445,0
Q9NV58,0,838,3
Q9NV79,0,361,1
Q9NV92,0,336,2
Q9NVC6,0,651,1
Q9NVF7,1,368,2
Q9NVN8,1,582,1
Q9NVR0,2,708,1
Q9NVW2,0,624,5
Q9NVX7,2,534,1
Q9NW38,0,375,0
Q9NWF9,0,866,3
Q9NWN3,1,711,4
Q9NWU2,2,228,0
Q9NWX5,1,421,0
Q9NWZ3,2,460,0
Q9NX08,1,183,0
Q9NX47,0,278,0
Q9NXC5,0,875,0
Q9NXI6,0,227,0
Q9NXK8,1,326,0
Q9NS91,1,495,3
Q9NS69,0,142,1
Q9NS56,0,1045,4
Q9HCI7,1,577,1
Q9H9V4,0,155,0
Q9HAT8,1,420,0
Q9HAU4,5,748,0
Q9HAY2,1,307,1
Q9HBD1,0,1191,2
Q9HBE1,1,687,3
Q9HC29,3,1040,0
Q9HC78,1,741,3
Q9HCE7,4,757,1
Q9HCI5,2,957,1
Q9HCM9,1,518,0
Q9NRW4,1,184,0
Q9NPC3,0,277,0
Q9NPD8,1,197,1
Q9NQ86,3,728,0
Q9NQC1,0,790,4
Q9NR64,1,748,2
Q9NRC8,1,400,2
Q9NRD0,2,319,0
Q9NRD1,2,293,1
Q9NRJ4,1,1543,5
Q8N668,1,190,0
Q8N5Z5,1,314,1
P43403,3,619,1
P30260,0,824,2
P35226,0,326,1
P35227,0,344,1
P35240,1,595,0
P36406,0,574,0
P38398,2,1863,8
P41002,2,786,2
P41226,0,1012,0
P43360,1,314,1
P45880,0,294,0
P53350,3,603,2
P45974,3,858,1
P46379,1,1132,7
P46934,5,1319,3
P48730,1,415,1
P49427,1,236,1
P49459,1,152,0
P49773,1,126,0
P49902,0,561,1
P50876,0,292,0
P51617,2,712,4
P51668,1,147,0
P29590,0,882,2
P28328,0,305,0
P22681,2,906,7
P21675,4,1893,9
O95522,0,483,0
O95628,1,575,3
O95786,5,925,0
O96008,0,361,1
O96017,2,543,2
P00519,3,1130,1
P05161,2,165,0
P05362,5,532,0
P0C0E4,1,278,0
P0C2W1,2,286,0
P0CG48,9,685,0
P10909,0,449,0
P14373,1,513,0
P15918,0,1043,1
P19474,1,475,0
P21580,1,790,5
P51965,1,193,1
P53611,0,331,0
O95376,0,493,1
Q13064,0,507,3
Q05397,3,1052,3
Q05516,1,673,2
Q06587,0,406,2
Q0D2K2,2,578,0
Q12829,1,278,1
Q12834,0,499,1
Q12899,1,539,1
Q12933,1,501,0
Q12986,1,1120,2
Q13042,0,620,1
Q13049,0,653,0
Q13077,1,416,1
P53804,0,2025,7
Q13114,1,568,1
Q13191,2,982,3
Q13216,0,396,1
Q13233,1,1512,8
Q13263,1,835,4
Q13309,1,424,1
Q13356,2,520,1
Q13404,1,147,0
Q13503,0,144,0
Q13526,2,163,1
Q05086,1,875,1
Q04323,2,297,1
Q01151,1,205,1
Q008S8,2,904,0
P55072,0,806,2
P55735,0,322,0
P57737,0,925,2
P57775,1,412,0
P59046,3,1061,0
P60006,0,121,1
P60604,1,165,0
P60953,0,191,0
P61077,1,147,0
P61081,1,183,1
P61086,2,200,0
P61088,1,152,0
P61962,0,342,0
P62253,1,170,0
P62256,1,183,1
P62699,1,121,0
P62837,1,147,0
P62877,0,108,0
P63146,1,152,0
P63208,0,163,1
P68036,1,154,0
P78395,0,509,0
Q00535,1,292,0
O95521,0,474,0
O95361,1,564,1
Q8N5U6,0,811,4
O14512,2,581,4
I1YAP6,1,450,0
M0QZC1,0,329,3
O00237,0,685,1
O00308,6,870,1
O00463,1,557,0
O00623,0,359,0
O00635,1,465,0
O00762,1,179,1
O14508,2,198,1
O14543,2,225,1
O15524,2,211,1
O14544,2,535,1
O14929,0,419,0
O14933,1,153,0
O14965,1,403,1
O15027,0,2357,14
O15033,1,823,1
O15105,2,426,1
O15151,1,490,1
O15164,1,1050,7
O15169,2,862,7
O15344,3,667,1
E7ERA6,0,249,2
C9JR72,1,458,0
C9JJ37,2,291,0
C9J1S8,1,452,0
A0AVI4,0,362,0
A1L167,1,161,0
A6NDI0,1,452,0
A6NE02,2,478,0
A6NIN4,0,190,1
A6NK59,1,587,0
A6NLI5,1,450,0
A6NNE9,0,402,1
A6QL63,1,1104,1
A7E2V4,0,1837,6
A8MQ27,2,555,1
A8MTL3,0,300,1
B2RXH4,1,712,5
O15479,1,319,1
O15541,0,343,2
O95278,2,331,0
O76050,2,574,2
O75159,2,536,1
O75340,5,191,0
O75368,0,114,0
O75382,0,744,1
O75426,1,580,0
O75582,3,802,2
O75586,0,246,1
O75677,1,317,0
O75678,1,378,0
O75679,1,317,0
O76064,1,485,1
O15553,2,781,3
O94822,0,1766,0
O94889,2,574,0
O94905,0,339,0
O94941,1,541,0
O94952,1,628,0
O94972,1,964,5
O95155,1,1302,3
O95166,0,117,0
O95170,0,752,0
O95198,1,593,1
O75155,0,1236,1
O75150,0,1001,3
O75147,15,1896,1
O75113,2,896,3
O43164,0,708,5
O43255,0,324,1
O43353,2,540,1
O43513,0,233,1
O43567,1,381,1
O43683,2,1085,2
O43684,0,328,0
O43734,1,574,3
O43791,2,374,0
O60260,1,465,1
O60291,0,552,2
O60337,0,910,1
O60524,0,1076,3
O60662,2,606,0
O60683,0,326,0
O60810,0,478,0
O60811,0,474,0
O60813,0,478,0
O60826,0,627,1
O60858,0,407,0
O60907,2,577,1
O60927,0,126,2
Q13616,1,776,0
Q13617,1,745,0
Q13618,1,768,1
Q7Z6M2,1,555,0
Q7L5Y9,2,396,0
Q7L622,1,706,0
Q7Z3V4,2,1068,0
Q7Z419,0,303,0
Q7Z4G1,1,85,0
Q7Z569,0,592,2
Q7Z5Y7,1,419,0
Q7Z6E9,1,1792,9
Q7Z6J0,4,888,5
Q7Z6J8,0,389,0
Q7Z6K3,0,402,1
Q86V97,1,674,2
Q7Z7E8,1,422,2
Q7Z7L7,0,766,0
Q86SE9,0,256,1
Q86T96,0,592,0
Q86TM6,0,617,3
Q86UD3,0,253,0
Q86UT8,0,332,1
Q86UW9,2,622,2
Q7L5Y6,0,550,0
Q7L273,5,389,0
Q7L0R7,0,432,1
Q76N89,4,1606,5
Q6PJI9,1,974,2
Q6Q0C0,0,670,2
Q6TCH7,0,311,0
Q6TDP4,2,642,1
Q6TFL4,2,600,0
Q6UWE0,1,723,2
Q6UX01,0,489,0
Q6VN20,3,620,2
Q6VVB1,0,395,0
Q6WRX3,0,759,0
Q6X9E4,1,464,0
Q6ZMU5,1,477,0
Q6ZMZ0,0,732,2
Q6ZNA4,0,994,8
Q6ZSG1,0,346,2
Q6ZT12,0,1888,4
Q6ZVX7,1,275,1
Q6ZVZ8,1,466,0
Q6ZWB6,1,473,2
Q6ZWI9,1,263,0
Q712K3,1,238,1
Q719H9,1,257,1
Q75N03,0,491,2
Q86UZ6,1,589,2
Q86VP1,0,789,3
Q13619,1,759,0
Q8N2H9,0,469,1
Q8IXQ5,2,586,0
Q8IY31,0,132,0
Q8IY47,2,623,0
Q8IY92,1,1834,10
Q8IYM9,1,498,0
Q8IYU2,1,909,1
Q8IYW5,0,571,4
Q8N0Z6,0,440,0
Q8N136,0,415,0
Q8N163,0,923,4
Q8N1E6,1,418,0
Q8N2K1,1,259,0
Q86VP6,0,1230,1
Q8N2W9,2,510,1
Q8N3Y1,1,598,1
Q8N448,4,690,2
Q8N461,1,479,1
Q8N4B4,1,442,0
Q8N4F7,0,328,0
Q8N4H5,0,51,0
Q8N4N3,2,616,1
A0A1B0GUS4,1,154,0
Q8N5D0,0,677,2
Q8N5I2,0,433,2
Q8IXJ6,1,389,2
Q8IX29,1,292,2
Q8IX12,1,1150,5
Q8IWZ5,2,723,0
Q86VX2,1,200,0
Q86VZ2,0,330,1
Q86WT6,1,500,0
Q86X83,1,199,0
Q86XK2,1,927,1
Q86XS8,1,419,0
Q86XT4,1,487,1
Q86Y01,2,620,3
Q86Y13,0,1208,3
Q86YJ5,0,346,4
Q86YT6,2,1006,0
Q8IU81,0,584,3
Q8IUD6,1,432,1
Q8IUQ4,0,282,1
Q8IUR7,0,673,0
Q8IVU3,1,1022,0
Q8IVV7,0,300,2
Q8IW03,0,269,0
Q8IWR1,0,403,0
Q8IWT3,2,2517,5
Q8IWV7,0,1749,1
Q8IWV8,0,1755,2
Q8IWZ4,0,224,0
Q6PJ69,1,517,1
Q6PJ61,1,603,5
Q6PJ21,2,355,2
Q3KP66,0,663,4
Q15884,0,450,1
Q16531,0,1140,0
Q16539,1,360,0
Q16763,1,222,1
Q17RG1,2,926,1
Q1L5Z9,1,754,2
Q2Q1W2,0,868,2
Q2TBA0,2,621,1
Q2WGJ6,2,581,0
Q32M84,1,506,0
Q3KNV8,0,242,1
Q3ZCT8,2,623,0
Q6PIJ6,1,1188,4
Q495X7,1,471,0
Q4G0X4,1,260,0
Q4G163,1,708,3
Q53G59,2,568,0
Q53GT1,1,634,1
Q58WW2,1,860,4
Q5EBN2,0,209,0
Q5FWF7,1,155,1
Q5GLZ8,1,1057,0
Q5H9S7,0,520,0
Q5JS37,0,347,0
Q15843,0,81,0
Q15819,1,145,0
Q15648,0,1581,4
Q13620,1,913,1
Q13829,1,316,1
Q13939,2,588,0
Q13951,0,182,0
Q14139,1,1066,1
Q14142,1,442,0
Q14258,1,630,1
Q14289,3,1009,1
Q14527,2,1009,1
Q14669,2,2067,5
Q14681,1,263,1
Q149N8,4,1683,2
Q14CZ0,0,275,4
Q15011,1,391,2
Q15025,0,636,3
Q15034,1,1050,0
Q15038,0,168,1
Q15345,0,812,1
Q15366,3,365,0
Q15369,0,112,0
Q15370,1,118,1
Q15386,2,1083,2
Q15388,0,145,0
Q5M7Z0,0,435,1
Q5MNV8,1,452,0
Q5XKL5,2,1792,8
Q5XUX0,1,539,2
Q5XUX1,1,458,2
Q5XX13,1,1052,1
Q63HN8,0,5207,2
Q66K89,0,784,0
Q68DK7,1,614,3
Q68DU8,1,428,0
Q68DV7,0,783,4
Q693B1,1,232,0
Q6AZZ1,1,485,0
Q6IQ16,2,392,0
Q6JEL2,1,608,0
Q6P050,1,231,1
Q6P1J9,0,531,2
Q6P2C8,0,311,0
Q6P3S6,1,717,3
Q6P9F5,0,258,0
Q6PCD5,0,774,3
Q6PCT2,1,694,2
Q6PD62,0,1173,1
Q6PF15,2,583,0
Q6PI47,1,426,2
Q6PID8,0,442,1
Q5XPI4,1,1314,0
Q5W0U4,1,402,1
Q5QP82,0,559,2
Q5W0B1,0,726,4
Q5SWL7,0,474,0
Q5SWL8,0,479,0
Q5T0T0,0,291,1
Q5T197,0,706,2
Q5T447,2,861,0
Q5T4S7,1,5183,8
Q5T6F0,0,453,1
Q5TA31,0,235,0
Q5TAQ9,0,597,2
Q5TC82,0,1133,4
Q5U5Q3,2,659,2
Q5U5R9,1,776,1
Q5VT98,0,475,0
Q5VTA0,0,474,0
Q5VTB9,0,566,1
Q5VTR2,0,975,3
Q5VVX9,1,321,1
Q5VWM3,0,479,0
Q8N531,1,539,2
