n_residues_total,n_residues_confident,confident_fraction,mean_plddt,compactness,hp_surf_frac,arom_surf_frac,max_hp_patch,n_hp_patches_5plus,pocket_density,max_pocket_cluster,pocket_cluster_per_100res,accession,Entry,intended_gene,gene_symbol,protac_validated,Length,n_lines_screened,mean_chronos,median_chronos,frac_essential,frac_strongly_essential,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
903,641,0.7098560354374308,88.81728549141967,1.1975757459162433,0.2926829268292683,0.09146341463414634,7,4,0.22464898595943839,28,4.368174726989079,Q96J02,Q96J02,,ITCH,False,903,1208.0,0.01930343199497243,0.0245353724930862,0.005794701986754967,0.0,1775.0,4.829309482309859,4.836131,1.0,0.9819718309859155
459,241,0.5250544662309368,91.68551867219917,1.801287813731262,0.34591194968553457,0.0880503144654088,6,2,0.17842323651452283,10,4.149377593360995,Q96BH1,Q96BH1,,RNF25,False,459,1208.0,-0.17394917234985457,-0.12506438871941344,0.076158940397351,0.008278145695364239,1775.0,4.313168106873239,4.3231106,1.0,0.9814084507042253
942,383,0.40658174097664546,92.51368146214101,1.012483538278632,0.2647058823529412,0.08088235294117647,4,0,0.18798955613577023,28,7.310704960835509,Q96JK2,Q96JK2,,DCAF5,False,942,1208.0,-0.026541178868933552,-0.0189695117437909,0.004966887417218543,0.0008278145695364238,1775.0,4.195877177633802,4.1972914,1.0,0.9701408450704225
268,173,0.6455223880597015,91.14554913294798,2.295316868141827,0.4025974025974026,0.06493506493506493,13,5,0.19653179190751446,11,6.358381502890173,Q96G25,Q96G25,,MED8,False,268,1208.0,-1.2743984391537622,-1.2677491984180198,0.9850993377483444,0.8062913907284768,1775.0,5.140911168619719,5.1412897,1.0,0.9988732394366198
1562,1151,0.7368758002560819,89.26069504778454,1.1032392058069096,0.2725563909774436,0.06578947368421052,8,6,0.18679409209383144,33,2.8670721112076456,Q96JN8,Q96JN8,,NEURL4,False,1562,1208.0,-0.060235740584630174,-0.057238487435232854,0.0041390728476821195,0.0,1775.0,4.054330189329577,4.0827537,0.9994366197183099,0.9019718309859155
617,602,0.9756888168557536,94.88182724252492,1.282968594837575,0.2636986301369863,0.11301369863013698,6,2,0.19601328903654486,32,5.3156146179401995,Q96JP0,Q96JP0,,FEM1C,False,617,1208.0,-0.08578655152819023,-0.07430886488463559,0.022350993377483443,0.0,1775.0,3.2929244906873243,3.2711103,0.9988732394366198,0.6664788732394367
570,132,0.23157894736842105,80.75500000000001,2.01284461477204,0.4,0.13636363636363635,13,3,0.22727272727272727,6,4.545454545454546,Q96JP5,Q96JP5,,ZFP91,False,570,1208.0,-0.11530725956377263,-0.1054971991412523,0.014900662251655629,0.0008278145695364238,1775.0,5.0161914571830994,5.0991898,1.0,0.984225352112676
258,196,0.7596899224806202,85.30051020408165,1.6376408168247767,0.5547445255474452,0.13138686131386862,25,3,0.22448979591836735,20,10.204081632653061,Q96K19,Q96K19,,RNF170,False,258,1208.0,-0.014779492398449123,-0.0094176773745328,0.0008278145695364238,0.0,1775.0,3.6782061111042257,3.7163434,0.9977464788732394,0.8264788732394366
538,414,0.7695167286245354,95.18801932367151,1.3708583632522515,0.32547169811320753,0.08018867924528301,14,2,0.21014492753623187,23,5.555555555555555,Q96KE9,Q96KE9,,BTBD6,False,538,1208.0,-0.03956975345442447,-0.03083926173985045,0.013245033112582781,0.0,1775.0,4.378833205592112,4.657897,0.9487323943661972,0.8940845070422535
414,375,0.9057971014492754,91.68799999999997,1.463962312839969,0.30288461538461536,0.11538461538461539,12,3,0.18666666666666668,26,6.933333333333333,Q96L50,Q96L50,,LRR1,False,414,1208.0,-2.462529984132231,-2.4669137862344943,1.0,0.9975165562913907,1775.0,4.836890309126761,4.897623,1.0,0.9819718309859155
638,509,0.7978056426332288,91.21129666011788,2.227060277613151,0.39710144927536234,0.07246376811594203,14,8,0.206286836935167,25,4.911591355599214,Q96LD4,Q96LD4,,TRIM47,False,638,1208.0,-0.07597527239283652,-0.08340574555853614,0.01076158940397351,0.0,1775.0,3.48601086076,3.7838757,0.8856338028169014,0.6647887323943662
201,150,0.746268656716418,97.43966666666665,1.28913285474103,0.3373493975903614,0.04819277108433735,5,1,0.22,11,7.333333333333333,Q96LR5,Q96LR5,,UBE2E2,False,201,1208.0,0.06062068776171531,0.0635384859659584,0.0,0.0,1775.0,3.9206925718816903,4.3114305,0.9064788732394367,0.8067605633802817
699,96,0.13733905579399142,92.46708333333333,4.290717658401291,0.3368421052631579,0.05263157894736842,9,2,0.10416666666666667,3,3.125,Q96M02,Q96M02,,C10orf90,False,699,,,,,,,,,,
780,484,0.6205128205128205,91.29245867768596,1.273341178894043,0.32209737827715357,0.0749063670411985,7,4,0.25206611570247933,36,7.43801652892562,Q96JM7,Q96JM7,,L3MBTL3,False,780,1208.0,0.09320895302947928,0.09171735614091994,0.0016556291390728477,0.0,1775.0,2.3625261541757747,2.3725314,0.923943661971831,0.2343661971830986
418,375,0.8971291866028708,93.62231999999999,1.1938750693664275,0.25882352941176473,0.08823529411764706,5,1,0.18133333333333335,38,10.133333333333333,Q96FA3,Q96FA3,,PELI1,False,418,1208.0,0.04894046889042648,0.0524455401506769,0.0,0.0,1775.0,3.226583512749859,3.1526425,0.9774647887323944,0.5504225352112676
271,249,0.9188191881918819,95.94477911646587,1.164984197618475,0.2695035460992908,0.07801418439716312,7,2,0.1646586345381526,15,6.024096385542169,Q96FW1,Q96FW1,,OTUB1,False,271,1208.0,-0.1556759623555752,-0.14204031527275615,0.04304635761589404,0.0008278145695364238,1775.0,6.043032580676057,6.053235,1.0,1.0
294,274,0.9319727891156463,95.01470802919708,1.3645980888590483,0.32679738562091504,0.10457516339869281,7,2,0.19708029197080293,18,6.569343065693431,Q96DX5,Q96DX5,,ASB9,False,294,1208.0,0.061779325518343274,0.0609216237142259,0.0008278145695364238,0.0,1775.0,1.665768132715493,1.3638215,0.5645070422535211,0.20788732394366197
446,411,0.92152466367713,90.96102189781021,1.6060878772250893,0.2783018867924528,0.10849056603773585,7,2,0.1897810218978102,18,4.37956204379562,Q96BQ3,Q96BQ3,,TRIM43,False,446,1047.0,-0.3292314070345539,-0.3140623240987666,0.15377268385864373,0.0,1775.0,0.07967732541577466,0.0,0.017464788732394366,0.005633802816901409
441,200,0.45351473922902497,87.9743,1.501399140117349,0.2867647058823529,0.10294117647058823,4,0,0.195,11,5.5,Q96BR9,Q96BR9,,ZBTB8A,False,441,1208.0,-0.08265368152989198,-0.0761068010093229,0.0024834437086092716,0.0,1775.0,2.135856001350986,2.2116694,0.9149295774647888,0.1132394366197183
935,723,0.7732620320855615,92.0242876901798,1.7750408929471597,0.36774193548387096,0.035483870967741936,10,4,0.20193637621023514,32,4.426002766251729,Q96C12,Q96C12,,ARMC5,False,935,1208.0,-0.3959709917234694,-0.34805329815062624,0.29304635761589404,0.05132450331125828,1775.0,2.4786773452225352,2.4462614,0.9954929577464788,0.17971830985915493
298,158,0.5302013422818792,94.94367088607595,1.22432718038044,0.3404255319148936,0.0851063829787234,5,1,0.25949367088607594,35,22.151898734177212,Q96CA5,Q96CA5,,BIRC7,False,298,1208.0,0.15762686208254198,0.15824852084519414,0.0,0.0,1775.0,0.548835164592676,0.055155385,0.12,0.061971830985915494
374,357,0.9545454545454546,93.17408963585433,1.1867037811937458,0.4065934065934066,0.08791208791208792,6,5,0.21288515406162464,26,7.282913165266107,Q96CD0,Q96CD0,,FBXL8,False,374,1208.0,-0.07264803675799232,-0.07710852801963561,0.005794701986754967,0.0,1775.0,2.7283363431464784,2.7211626,0.9645070422535211,0.37577464788732395
875,555,0.6342857142857142,90.74706306306305,1.4420824254861564,0.35018050541516244,0.08664259927797834,9,1,0.24504504504504504,69,12.432432432432433,Q96CT2,Q96CT2,,KLHL29,False,875,1208.0,0.07107787340344804,0.0684237155337695,0.0,0.0,1775.0,1.719509470512676,1.7980174,0.6895774647887324,0.1504225352112676
325,200,0.6153846153846154,93.4483,1.6857147939357842,0.3076923076923077,0.1111111111111111,6,1,0.16,10,5.0,Q96CX2,Q96CX2,,KCTD12,False,325,1208.0,0.05435453976416653,0.05043260880837375,0.0,0.0,1775.0,2.3730634936061974,2.3291953,0.7346478873239437,0.36225352112676057
192,107,0.5572916666666666,82.45981308411216,2.0748682942055487,0.5942028985507246,0.15942028985507245,21,3,0.16822429906542055,8,7.476635514018691,Q96D59,Q96D59,,RNF183,False,192,1208.0,-0.010391356042346183,-0.01078258712580925,0.0,0.0,1775.0,0.2846084937430986,0.062362142,0.07323943661971831,0.02140845070422535
110,59,0.5363636363636364,90.78694915254236,3.3481428435373406,0.43103448275862066,0.1206896551724138,9,3,0.06779661016949153,1,1.694915254237288,Q96DE5,Q96DE5,,ANAPC16,False,110,1208.0,-0.017454545193836667,-0.0093847584401194,0.0041390728476821195,0.0,1775.0,6.390307443943661,6.381197,0.9994366197183099,0.9994366197183099
576,469,0.8142361111111112,94.96270788912581,1.0983802266651166,0.330188679245283,0.0660377358490566,5,1,0.1812366737739872,14,2.9850746268656714,Q96DX4,Q96DX4,,RSPRY1,False,576,1208.0,-0.044262416778081626,-0.04402437332074275,0.005794701986754967,0.0,1775.0,4.468074341521127,4.480504,1.0,0.9774647887323944
344,198,0.5755813953488372,91.36641414141414,2.1037071671414593,0.3246753246753247,0.06493506493506493,15,2,0.18686868686868688,13,6.565656565656567,Q96DX7,Q96DX7,,TRIM44,False,344,1208.0,0.07133103590960786,0.0783586997594469,0.0016556291390728477,0.0,1775.0,4.55973155171662,4.6659894,0.9864788732394366,0.9126760563380282
270,243,0.9,92.35444444444444,1.5528279418711868,0.5864197530864198,0.19753086419753085,32,3,0.25102880658436216,54,22.22222222222222,Q96FV3,Q96FV3,,TSPAN17,False,270,1208.0,-0.03494213767736254,-0.0286888901315771,0.0074503311258278145,0.0,1775.0,4.63237125684507,4.7773094,1.0,0.948169014084507
360,306,0.85,94.64816993464052,1.0690858516453872,0.304635761589404,0.09933774834437085,4,0,0.19281045751633988,40,13.071895424836603,Q96EE3,Q96EE3,,SEH1L,False,360,1208.0,-1.167940762329018,-1.168240582955984,0.9610927152317881,0.695364238410596,1775.0,5.155062951098591,5.1494546,1.0,0.9960563380281691
278,250,0.8992805755395683,93.97772,1.377463704038776,0.3888888888888889,0.0873015873015873,8,2,0.224,21,8.4,Q96EF6,Q96EF6,,FBXO17,False,278,1208.0,0.016369846960103622,0.01685127548435935,0.004966887417218543,0.0,1775.0,2.7673101618991547,3.3396435,0.6794366197183098,0.543661971830986
262,208,0.7938931297709924,91.365,1.2063038837756295,0.3942307692307692,0.07692307692307693,7,2,0.25,43,20.673076923076923,Q96EH8,Q96EH8,,NEURL3,False,262,74.0,0.13025614838982175,0.15376038426894212,0.02702702702702703,0.0,1775.0,0.6431656279921127,0.1569182,0.2140845070422535,0.05014084507042253
343,225,0.6559766763848397,89.26902222222222,1.5016487121582032,0.3541666666666667,0.13194444444444445,10,4,0.19111111111111112,26,11.555555555555555,Q96M61,Q96M61,,MAGEB18,False,343,1208.0,0.0380826337304883,0.04045780188707305,0.0,0.0,1775.0,0.025653409882816905,0.0,0.003943661971830986,0.0005633802816901409
664,412,0.6204819277108434,92.25055825242717,1.286021896443935,0.3064516129032258,0.0846774193548387,6,2,0.20145631067961164,17,4.12621359223301,Q96EP1,Q96EP1,,CHFR,False,664,1208.0,-0.06963613876816513,-0.0738671309954132,0.0041390728476821195,0.0,1775.0,3.7983125687425354,4.1467123,0.9076056338028169,0.8129577464788732
232,162,0.6982758620689655,89.85327160493829,1.7451567609545513,0.3333333333333333,0.11711711711711711,8,2,0.19135802469135801,6,3.7037037037037033,Q96EQ8,Q96EQ8,,RNF125,False,232,1208.0,0.03673923581679765,0.035413960377940354,0.0008278145695364238,0.0,1775.0,1.2328474719988733,0.80236197,0.4388732394366197,0.10197183098591549
444,260,0.5855855855855856,88.05630769230768,1.5076214652813555,0.5408805031446541,0.13836477987421383,22,4,0.2653846153846154,30,11.538461538461538,Q96EX2,Q96EX2,,RNFT2,False,444,1208.0,-0.1157119090984695,-0.11252279137731991,0.0024834437086092716,0.0008278145695364238,1775.0,1.7736751803267605,1.6584995,0.7690140845070422,0.1295774647887324
468,429,0.9166666666666666,91.7574825174825,2.6741197385261817,0.38305084745762713,0.04406779661016949,25,7,0.1655011655011655,11,2.564102564102564,Q96F44,Q96F44,,TRIM11,False,468,1208.0,-0.02296530353076775,-0.018195763490561602,0.0074503311258278145,0.0008278145695364238,1775.0,4.071659362366197,4.0711966,1.0,0.967887323943662
317,254,0.8012618296529969,88.60881889763779,1.3400840731807389,0.37777777777777777,0.06666666666666667,6,4,0.22440944881889763,20,7.874015748031496,Q96BM1,Q96BM1,,ANKRD9,False,317,1208.0,-0.019599058672260965,-0.0172709112170004,0.0033112582781456954,0.0,1775.0,2.903086523597183,2.9780548,0.9459154929577465,0.48619718309859156
646,379,0.586687306501548,88.07559366754616,1.3870946510723978,0.33183856502242154,0.05829596412556054,9,4,0.17150395778364116,36,9.498680738786279,Q96FN5,Q96FN5,,KIF12,False,646,1208.0,0.020812617652578625,0.022439418987211,0.0,0.0,1775.0,0.7266200413346479,0.112203695,0.20901408450704226,0.0828169014084507
1072,825,0.769589552238806,87.38335757575756,1.7367087002702757,0.3058350100603622,0.07645875251509054,12,5,0.18303030303030304,25,3.0303030303030303,Q96EP0,Q96EP0,,RNF31,False,1072,1208.0,-0.18112071959058956,-0.1467447233728375,0.10596026490066225,0.009933774834437087,1775.0,4.623667268845071,4.652062,1.0,0.9830985915492958
755,555,0.7350993377483444,94.15473873873873,1.3751141809128435,0.29411764705882354,0.07958477508650519,10,2,0.21621621621621623,32,5.7657657657657655,Q96PQ7,Q96PQ7,,KLHL5,False,755,1208.0,0.09920711846280156,0.10046765135766315,0.0008278145695364238,0.0,1775.0,4.733698464477747,4.8838797,0.9723943661971831,0.8907042253521127
604,566,0.9370860927152318,93.20005300353357,1.402335090037965,0.2608695652173913,0.10869565217391304,9,1,0.21201413427561838,48,8.480565371024735,Q96M94,Q96M94,,KLHL15,False,604,1208.0,0.030994867746355945,0.03573171621486225,0.0008278145695364238,0.0,1775.0,2.638122456724507,2.6063948,0.984225352112676,0.3205633802816901
259,196,0.7567567567567568,91.72040816326533,1.6522735868181502,0.36496350364963503,0.10218978102189781,6,2,0.20918367346938777,9,4.591836734693878,Q9BSM1,Q9BSM1,,PCGF1,False,259,1208.0,-0.038397190258916726,-0.029005555280615852,0.03145695364238411,0.0016556291390728477,1775.0,4.648704097802818,4.619865,1.0,0.9971830985915493
522,448,0.8582375478927203,93.84151785714286,1.112582057218942,0.3593073593073593,0.09956709956709957,7,3,0.20089285714285715,34,7.5892857142857135,Q9BQ87,Q9BQ87,,TBL1Y,False,522,383.0,0.5222223317713715,0.511590010628836,0.0,0.0,1775.0,0.06172726289802817,0.0,0.018591549295774647,0.0016901408450704226
382,367,0.9607329842931938,95.78185286103543,1.0686150720317877,0.30177514792899407,0.07100591715976332,7,2,0.23160762942779292,47,12.806539509536785,Q9BQ90,Q9BQ90,,KLHDC3,False,382,1208.0,-0.04108390535538127,-0.0334267361268885,0.014900662251655629,0.0008278145695364238,1775.0,5.642024490929577,5.6415663,1.0,0.9994366197183099
342,306,0.8947368421052632,95.69699346405228,1.029199551283502,0.30158730158730157,0.07142857142857142,4,0,0.20588235294117646,31,10.130718954248366,Q9BQA1,Q9BQA1,,WDR77,False,342,1208.0,-1.3540080351896422,-1.3262965769320143,0.9784768211920529,0.7938741721854304,1775.0,5.05376664,5.0913954,1.0,0.9938028169014085
285,225,0.7894736842105263,91.81746666666666,1.2599815368652343,0.43243243243243246,0.0990990990990991,9,3,0.25333333333333335,31,13.777777777777779,Q9BR09,Q9BR09,,NEURL2,False,285,1208.0,0.0213187568340208,0.0190663971788952,0.0,0.0,1775.0,1.1752898737543662,1.1024969,0.5673239436619718,0.007323943661971831
755,573,0.7589403973509934,87.77630017452007,1.9420517467658576,0.39154929577464787,0.0647887323943662,28,7,0.18673647469458987,18,3.1413612565445024,Q9BRZ2,Q9BRZ2,,TRIM56,False,755,1208.0,0.005207150701537934,0.005013953209506599,0.0016556291390728477,0.0,1775.0,3.400011442663662,3.511683,0.963943661971831,0.723943661971831
74,39,0.527027027027027,83.12051282051281,2.8863282364655665,0.5263157894736842,0.07894736842105263,7,2,0.10256410256410256,2,5.128205128205128,Q9BS18,Q9BS18,,ANAPC13,False,74,1208.0,-0.5987989660655866,-0.5885017773800435,0.6548013245033113,0.061258278145695365,1775.0,6.486449289126761,6.494849,1.0,1.0
475,237,0.49894736842105264,93.55181434599156,1.7294553155150294,0.2949640287769784,0.09352517985611511,6,2,0.21518987341772153,12,5.063291139240507,Q9BSF8,Q9BSF8,,BTBD10,False,475,1208.0,-0.08671152288769764,-0.08142488065372415,0.009933774834437087,0.0,1775.0,4.6660676232112674,4.6731043,1.0,0.992112676056338
452,397,0.8783185840707964,90.90521410579343,1.6332208370449588,0.2651162790697674,0.08837209302325581,5,1,0.20906801007556675,20,5.037783375314862,Q9BSJ1,Q9BSJ1,,TRIM51,False,452,,,,,,1775.0,0.2254020556484507,0.0,0.06366197183098592,0.036619718309859155
669,586,0.8759342301943199,94.77858361774744,1.287045181593634,0.27075812274368233,0.10108303249097472,9,4,0.20136518771331058,32,5.460750853242321,Q9BSK4,Q9BSK4,,FEM1A,False,669,1208.0,-0.19415687369288348,-0.18296242903424914,0.052152317880794705,0.0008278145695364238,1775.0,1.7553306429887323,1.7333109,0.9070422535211268,0.015774647887323943
405,277,0.6839506172839506,85.27036101083033,1.6749444129105158,0.34104046242774566,0.03468208092485549,9,3,0.19133574007220217,9,3.2490974729241873,Q9BSL1,Q9BSL1,,UBAC1,False,405,1208.0,0.05109731139653273,0.0484509275980503,0.0008278145695364238,0.0,1775.0,4.739856523774647,4.722253,1.0,0.9960563380281691
221,85,0.38461538461538464,84.4134117647059,1.8294162563405028,0.7068965517241379,0.29310344827586204,21,3,0.3411764705882353,26,30.58823529411765,Q9BT67,Q9BT67,,NDFIP1,False,221,1208.0,0.02832771781112347,0.0255828291605089,0.0,0.0,1775.0,5.5375646358518305,5.6720405,0.9909859154929578,0.9752112676056338
180,76,0.4222222222222222,88.01539473684211,2.4035676943835282,0.5178571428571429,0.21428571428571427,16,1,0.18421052631578946,8,10.526315789473683,Q99942,Q99942,,RNF5,False,180,1207.0,-0.10287397723495835,-0.0906426118833058,0.006628003314001657,0.0,1775.0,5.659745565366197,5.694532,0.9983098591549295,0.9971830985915493
237,194,0.8185654008438819,96.65427835051547,1.361427172313397,0.2222222222222222,0.08333333333333333,4,0,0.19072164948453607,12,6.185567010309279,Q9BTE7,Q9BTE7,,DCUN1D5,False,237,1208.0,-0.006683939426536625,-0.00421599981104845,0.0041390728476821195,0.0,1775.0,6.19130520997183,6.205758,0.9994366197183099,0.9983098591549295
135,128,0.9481481481481482,95.050703125,2.772909947188488,0.375,0.08035714285714286,13,4,0.203125,12,9.375,Q9BTT4,Q9BTT4,,MED10,False,135,1208.0,-0.494014895617823,-0.46749410584910156,0.4644039735099338,0.07119205298013245,1775.0,5.888703567380281,5.873346,1.0,0.9994366197183099
403,87,0.21588089330024815,89.3703448275862,2.240158537207976,0.4027777777777778,0.1388888888888889,12,2,0.16091954022988506,10,11.494252873563218,Q9BUL5,Q9BUL5,,PHF23,False,403,1208.0,-0.22576385140280275,-0.20875371397389156,0.09519867549668874,0.0024834437086092716,1775.0,5.09577592,5.1513395,1.0,0.9954929577464788
548,338,0.6167883211678832,93.72899408284023,1.0168877258059927,0.3795620437956204,0.08759124087591241,6,2,0.19230769230769232,47,13.905325443786982,Q9BUR4,Q9BUR4,,WRAP53,False,548,1208.0,-0.19367278846736297,-0.18965116902480406,0.05380794701986755,0.0008278145695364238,1775.0,3.5315810859154926,3.5417874,0.9960563380281691,0.7628169014084507
470,457,0.9723404255319149,92.40919037199124,2.8936070497125126,0.369281045751634,0.0915032679738562,19,7,0.20568927789934355,14,3.063457330415755,Q9BUZ4,Q9BUZ4,,TRAF4,False,470,1208.0,-0.1831409592520696,-0.1772720489532995,0.03394039735099338,0.0008278145695364238,1775.0,5.696084537802817,5.740739,1.0,0.9909859154929578
311,117,0.3762057877813505,82.39940170940169,2.060739174459329,0.43820224719101125,0.11235955056179775,11,3,0.1794871794871795,8,6.837606837606838,Q9BV68,Q9BV68,,RNF126,False,311,1208.0,-0.0324514274540164,-0.0265096440123507,0.01076158940397351,0.0,1775.0,4.482695984394367,4.576679,1.0,0.9538028169014084
475,436,0.9178947368421052,91.77864678899083,2.3238685499715137,0.33986928104575165,0.0784313725490196,17,9,0.20412844036697247,33,7.568807339449542,Q9BVG3,Q9BVG3,,TRIM62,False,475,1208.0,-0.01005136570223003,-0.0074961240144819,0.0024834437086092716,0.0,1775.0,1.9953598469408451,1.9120021,0.9329577464788732,0.09915492957746479
