n_residues_total,n_residues_confident,confident_fraction,mean_plddt,compactness,hp_surf_frac,arom_surf_frac,max_hp_patch,n_hp_patches_5plus,pocket_density,max_pocket_cluster,pocket_cluster_per_100res,accession,Entry,intended_gene,gene_symbol,protac_validated,Length
942,383,0.40658174097664546,92.51368146214101,1.012483538278632,0.2647058823529412,0.08088235294117647,4,0,0.18798955613577023,28,7.310704960835509,Q96JK2,Q96JK2,,DCAF5,False,942
268,173,0.6455223880597015,91.14554913294798,2.295316868141827,0.4025974025974026,0.06493506493506493,13,5,0.19653179190751446,11,6.358381502890173,Q96G25,Q96G25,,MED8,False,268
1562,1151,0.7368758002560819,89.26069504778454,1.1032392058069096,0.2725563909774436,0.06578947368421052,8,6,0.18679409209383144,33,2.8670721112076456,Q96JN8,Q96JN8,,NEURL4,False,1562
617,602,0.9756888168557536,94.88182724252492,1.282968594837575,0.2636986301369863,0.11301369863013698,6,2,0.19601328903654486,32,5.3156146179401995,Q96JP0,Q96JP0,,FEM1C,False,617
570,132,0.23157894736842105,80.75500000000001,2.01284461477204,0.4,0.13636363636363635,13,3,0.22727272727272727,6,4.545454545454546,Q96JP5,Q96JP5,,ZFP91,False,570
258,196,0.7596899224806202,85.30051020408165,1.6376408168247767,0.5547445255474452,0.13138686131386862,25,3,0.22448979591836735,20,10.204081632653061,Q96K19,Q96K19,,RNF170,False,258
538,414,0.7695167286245354,95.18801932367151,1.3708583632522515,0.32547169811320753,0.08018867924528301,14,2,0.21014492753623187,23,5.555555555555555,Q96KE9,Q96KE9,,BTBD6,False,538
414,375,0.9057971014492754,91.68799999999997,1.463962312839969,0.30288461538461536,0.11538461538461539,12,3,0.18666666666666668,26,6.933333333333333,Q96L50,Q96L50,,LRR1,False,414
638,509,0.7978056426332288,91.21129666011788,2.227060277613151,0.39710144927536234,0.07246376811594203,14,8,0.206286836935167,25,4.911591355599214,Q96LD4,Q96LD4,,TRIM47,False,638
201,150,0.746268656716418,97.43966666666665,1.28913285474103,0.3373493975903614,0.04819277108433735,5,1,0.22,11,7.333333333333333,Q96LR5,Q96LR5,,UBE2E2,False,201
699,96,0.13733905579399142,92.46708333333333,4.290717658401291,0.3368421052631579,0.05263157894736842,9,2,0.10416666666666667,3,3.125,Q96M02,Q96M02,,C10orf90,False,699
780,484,0.6205128205128205,91.29245867768596,1.273341178894043,0.32209737827715357,0.0749063670411985,7,4,0.25206611570247933,36,7.43801652892562,Q96JM7,Q96JM7,,L3MBTL3,False,780
418,375,0.8971291866028708,93.62231999999999,1.1938750693664275,0.25882352941176473,0.08823529411764706,5,1,0.18133333333333335,38,10.133333333333333,Q96FA3,Q96FA3,,PELI1,False,418
271,249,0.9188191881918819,95.94477911646587,1.164984197618475,0.2695035460992908,0.07801418439716312,7,2,0.1646586345381526,15,6.024096385542169,Q96FW1,Q96FW1,,OTUB1,False,271
294,274,0.9319727891156463,95.01470802919708,1.3645980888590483,0.32679738562091504,0.10457516339869281,7,2,0.19708029197080293,18,6.569343065693431,Q96DX5,Q96DX5,,ASB9,False,294
446,411,0.92152466367713,90.96102189781021,1.6060878772250893,0.2783018867924528,0.10849056603773585,7,2,0.1897810218978102,18,4.37956204379562,Q96BQ3,Q96BQ3,,TRIM43,False,446
441,200,0.45351473922902497,87.9743,1.501399140117349,0.2867647058823529,0.10294117647058823,4,0,0.195,11,5.5,Q96BR9,Q96BR9,,ZBTB8A,False,441
935,723,0.7732620320855615,92.0242876901798,1.7750408929471597,0.36774193548387096,0.035483870967741936,10,4,0.20193637621023514,32,4.426002766251729,Q96C12,Q96C12,,ARMC5,False,935
298,158,0.5302013422818792,94.94367088607595,1.22432718038044,0.3404255319148936,0.0851063829787234,5,1,0.25949367088607594,35,22.151898734177212,Q96CA5,Q96CA5,,BIRC7,False,298
374,357,0.9545454545454546,93.17408963585433,1.1867037811937458,0.4065934065934066,0.08791208791208792,6,5,0.21288515406162464,26,7.282913165266107,Q96CD0,Q96CD0,,FBXL8,False,374
875,555,0.6342857142857142,90.74706306306305,1.4420824254861564,0.35018050541516244,0.08664259927797834,9,1,0.24504504504504504,69,12.432432432432433,Q96CT2,Q96CT2,,KLHL29,False,875
325,200,0.6153846153846154,93.4483,1.6857147939357842,0.3076923076923077,0.1111111111111111,6,1,0.16,10,5.0,Q96CX2,Q96CX2,,KCTD12,False,325
192,107,0.5572916666666666,82.45981308411216,2.0748682942055487,0.5942028985507246,0.15942028985507245,21,3,0.16822429906542055,8,7.476635514018691,Q96D59,Q96D59,,RNF183,False,192
110,59,0.5363636363636364,90.78694915254236,3.3481428435373406,0.43103448275862066,0.1206896551724138,9,3,0.06779661016949153,1,1.694915254237288,Q96DE5,Q96DE5,,ANAPC16,False,110
576,469,0.8142361111111112,94.96270788912581,1.0983802266651166,0.330188679245283,0.0660377358490566,5,1,0.1812366737739872,14,2.9850746268656714,Q96DX4,Q96DX4,,RSPRY1,False,576
344,198,0.5755813953488372,91.36641414141414,2.1037071671414593,0.3246753246753247,0.06493506493506493,15,2,0.18686868686868688,13,6.565656565656567,Q96DX7,Q96DX7,,TRIM44,False,344
270,243,0.9,92.35444444444444,1.5528279418711868,0.5864197530864198,0.19753086419753085,32,3,0.25102880658436216,54,22.22222222222222,Q96FV3,Q96FV3,,TSPAN17,False,270
360,306,0.85,94.64816993464052,1.0690858516453872,0.304635761589404,0.09933774834437085,4,0,0.19281045751633988,40,13.071895424836603,Q96EE3,Q96EE3,,SEH1L,False,360
278,250,0.8992805755395683,93.97772,1.377463704038776,0.3888888888888889,0.0873015873015873,8,2,0.224,21,8.4,Q96EF6,Q96EF6,,FBXO17,False,278
262,208,0.7938931297709924,91.365,1.2063038837756295,0.3942307692307692,0.07692307692307693,7,2,0.25,43,20.673076923076923,Q96EH8,Q96EH8,,NEURL3,False,262
343,225,0.6559766763848397,89.26902222222222,1.5016487121582032,0.3541666666666667,0.13194444444444445,10,4,0.19111111111111112,26,11.555555555555555,Q96M61,Q96M61,,MAGEB18,False,343
664,412,0.6204819277108434,92.25055825242717,1.286021896443935,0.3064516129032258,0.0846774193548387,6,2,0.20145631067961164,17,4.12621359223301,Q96EP1,Q96EP1,,CHFR,False,664
232,162,0.6982758620689655,89.85327160493829,1.7451567609545513,0.3333333333333333,0.11711711711711711,8,2,0.19135802469135801,6,3.7037037037037033,Q96EQ8,Q96EQ8,,RNF125,False,232
444,260,0.5855855855855856,88.05630769230768,1.5076214652813555,0.5408805031446541,0.13836477987421383,22,4,0.2653846153846154,30,11.538461538461538,Q96EX2,Q96EX2,,RNFT2,False,444
468,429,0.9166666666666666,91.7574825174825,2.6741197385261817,0.38305084745762713,0.04406779661016949,25,7,0.1655011655011655,11,2.564102564102564,Q96F44,Q96F44,,TRIM11,False,468
317,254,0.8012618296529969,88.60881889763779,1.3400840731807389,0.37777777777777777,0.06666666666666667,6,4,0.22440944881889763,20,7.874015748031496,Q96BM1,Q96BM1,,ANKRD9,False,317
646,379,0.586687306501548,88.07559366754616,1.3870946510723978,0.33183856502242154,0.05829596412556054,9,4,0.17150395778364116,36,9.498680738786279,Q96FN5,Q96FN5,,KIF12,False,646
1072,825,0.769589552238806,87.38335757575756,1.7367087002702757,0.3058350100603622,0.07645875251509054,12,5,0.18303030303030304,25,3.0303030303030303,Q96EP0,Q96EP0,,RNF31,False,1072
755,555,0.7350993377483444,94.15473873873873,1.3751141809128435,0.29411764705882354,0.07958477508650519,10,2,0.21621621621621623,32,5.7657657657657655,Q96PQ7,Q96PQ7,,KLHL5,False,755
604,566,0.9370860927152318,93.20005300353357,1.402335090037965,0.2608695652173913,0.10869565217391304,9,1,0.21201413427561838,48,8.480565371024735,Q96M94,Q96M94,,KLHL15,False,604
259,196,0.7567567567567568,91.72040816326533,1.6522735868181502,0.36496350364963503,0.10218978102189781,6,2,0.20918367346938777,9,4.591836734693878,Q9BSM1,Q9BSM1,,PCGF1,False,259
522,448,0.8582375478927203,93.84151785714286,1.112582057218942,0.3593073593073593,0.09956709956709957,7,3,0.20089285714285715,34,7.5892857142857135,Q9BQ87,Q9BQ87,,TBL1Y,False,522
382,367,0.9607329842931938,95.78185286103543,1.0686150720317877,0.30177514792899407,0.07100591715976332,7,2,0.23160762942779292,47,12.806539509536785,Q9BQ90,Q9BQ90,,KLHDC3,False,382
342,306,0.8947368421052632,95.69699346405228,1.029199551283502,0.30158730158730157,0.07142857142857142,4,0,0.20588235294117646,31,10.130718954248366,Q9BQA1,Q9BQA1,,WDR77,False,342
285,225,0.7894736842105263,91.81746666666666,1.2599815368652343,0.43243243243243246,0.0990990990990991,9,3,0.25333333333333335,31,13.777777777777779,Q9BR09,Q9BR09,,NEURL2,False,285
755,573,0.7589403973509934,87.77630017452007,1.9420517467658576,0.39154929577464787,0.0647887323943662,28,7,0.18673647469458987,18,3.1413612565445024,Q9BRZ2,Q9BRZ2,,TRIM56,False,755
74,39,0.527027027027027,83.12051282051281,2.8863282364655665,0.5263157894736842,0.07894736842105263,7,2,0.10256410256410256,2,5.128205128205128,Q9BS18,Q9BS18,,ANAPC13,False,74
475,237,0.49894736842105264,93.55181434599156,1.7294553155150294,0.2949640287769784,0.09352517985611511,6,2,0.21518987341772153,12,5.063291139240507,Q9BSF8,Q9BSF8,,BTBD10,False,475
452,397,0.8783185840707964,90.90521410579343,1.6332208370449588,0.2651162790697674,0.08837209302325581,5,1,0.20906801007556675,20,5.037783375314862,Q9BSJ1,Q9BSJ1,,TRIM51,False,452
669,586,0.8759342301943199,94.77858361774744,1.287045181593634,0.27075812274368233,0.10108303249097472,9,4,0.20136518771331058,32,5.460750853242321,Q9BSK4,Q9BSK4,,FEM1A,False,669
405,277,0.6839506172839506,85.27036101083033,1.6749444129105158,0.34104046242774566,0.03468208092485549,9,3,0.19133574007220217,9,3.2490974729241873,Q9BSL1,Q9BSL1,,UBAC1,False,405
221,85,0.38461538461538464,84.4134117647059,1.8294162563405028,0.7068965517241379,0.29310344827586204,21,3,0.3411764705882353,26,30.58823529411765,Q9BT67,Q9BT67,,NDFIP1,False,221
180,76,0.4222222222222222,88.01539473684211,2.4035676943835282,0.5178571428571429,0.21428571428571427,16,1,0.18421052631578946,8,10.526315789473683,Q99942,Q99942,,RNF5,False,180
237,194,0.8185654008438819,96.65427835051547,1.361427172313397,0.2222222222222222,0.08333333333333333,4,0,0.19072164948453607,12,6.185567010309279,Q9BTE7,Q9BTE7,,DCUN1D5,False,237
135,128,0.9481481481481482,95.050703125,2.772909947188488,0.375,0.08035714285714286,13,4,0.203125,12,9.375,Q9BTT4,Q9BTT4,,MED10,False,135
403,87,0.21588089330024815,89.3703448275862,2.240158537207976,0.4027777777777778,0.1388888888888889,12,2,0.16091954022988506,10,11.494252873563218,Q9BUL5,Q9BUL5,,PHF23,False,403
548,338,0.6167883211678832,93.72899408284023,1.0168877258059927,0.3795620437956204,0.08759124087591241,6,2,0.19230769230769232,47,13.905325443786982,Q9BUR4,Q9BUR4,,WRAP53,False,548
470,457,0.9723404255319149,92.40919037199124,2.8936070497125126,0.369281045751634,0.0915032679738562,19,7,0.20568927789934355,14,3.063457330415755,Q9BUZ4,Q9BUZ4,,TRAF4,False,470
311,117,0.3762057877813505,82.39940170940169,2.060739174459329,0.43820224719101125,0.11235955056179775,11,3,0.1794871794871795,8,6.837606837606838,Q9BV68,Q9BV68,,RNF126,False,311
475,436,0.9178947368421052,91.77864678899083,2.3238685499715137,0.33986928104575165,0.0784313725490196,17,9,0.20412844036697247,33,7.568807339449542,Q9BVG3,Q9BVG3,,TRIM62,False,475
1158,686,0.5924006908462867,84.03026239067056,1.5026191695818043,0.315625,0.0625,6,3,0.22011661807580174,17,2.478134110787172,Q9BVR0,Q9BVR0,,HERC2P3,False,1158
102,51,0.5,77.84156862745098,3.0579537234492022,0.43137254901960786,0.1568627450980392,8,3,0.058823529411764705,3,5.88235294117647,Q9BW61,Q9BW61,,DDA1,False,102
469,286,0.6098081023454158,92.241993006993,4.443946434303086,0.3524904214559387,0.05747126436781609,16,7,0.11888111888111888,11,3.8461538461538463,Q9BWF2,Q9BWF2,,TRAIP,False,469
255,215,0.8431372549019608,92.0525581395349,1.6864424105145486,0.3359375,0.125,6,2,0.2186046511627907,12,5.5813953488372094,Q9BQ13,Q9BQ13,,KCTD14,False,255
777,405,0.5212355212355212,88.98217283950618,1.3864323567889092,0.28699551569506726,0.11210762331838565,5,2,0.20987654320987653,31,7.654320987654321,Q99728,Q99728,,BARD1,False,777
718,635,0.8844011142061281,92.7523307086614,0.9927019294370402,0.25263157894736843,0.08421052631578947,6,3,0.1700787401574803,15,2.3622047244094486,Q96ME1,Q96ME1,,FBXL18,False,718
679,283,0.4167893961708395,89.88989399293287,1.2486688434538091,0.3221476510067114,0.0738255033557047,12,1,0.2332155477031802,10,3.53356890459364,Q96PX1,Q96PX1,,RNF157,False,679
304,196,0.6447368421052632,90.20984693877551,1.428356715611049,0.3025210084033613,0.09243697478991597,5,2,0.23979591836734693,24,12.244897959183673,Q96MG7,Q96MG7,,NSMCE3,False,304
357,283,0.7927170868347339,94.03494699646643,1.140843113991484,0.33088235294117646,0.08823529411764706,8,2,0.20141342756183744,15,5.30035335689046,Q96MG8,Q96MG8,,PCMTD1,False,357
289,214,0.740484429065744,94.01911214953273,1.7313951111758232,0.2926829268292683,0.13821138211382114,6,2,0.22897196261682243,13,6.074766355140187,Q96MP8,Q96MP8,,KCTD7,False,289
663,546,0.8235294117647058,87.50849816849816,1.5819724557479262,0.5897435897435898,0.18518518518518517,42,15,0.3241758241758242,149,27.28937728937729,Q96MT1,Q96MT1,,RNF145,False,663
727,245,0.33700137551581844,88.77138775510203,1.6631731649489259,0.2721518987341772,0.10759493670886076,10,3,0.17551020408163265,10,4.081632653061225,Q96MU7,Q96MU7,,YTHDC1,False,727
453,413,0.9116997792494481,92.33489104116222,1.3777096820649417,0.33181818181818185,0.07727272727272727,10,5,0.2179176755447942,32,7.74818401937046,Q96NS5,Q96NS5,,ASB16,False,453
236,189,0.8008474576271186,91.56253968253968,1.8210374397073017,0.3208955223880597,0.1044776119402985,5,2,0.21693121693121692,13,6.878306878306878,Q96P09,Q96P09,,BIRC8,False,236
261,235,0.9003831417624522,95.24514893617021,1.6680632074175055,0.2857142857142857,0.06428571428571428,8,2,0.2127659574468085,21,8.936170212765958,Q96PM5,Q96PM5,,RCHY1,False,261
802,617,0.7693266832917706,91.31790923824958,1.1654208715121885,0.32386363636363635,0.07954545454545454,9,3,0.20421393841166938,26,4.213938411669368,Q96PU4,Q96PU4,,UHRF2,False,802
975,570,0.5846153846153846,88.05305263157895,1.3228250829649526,0.31186440677966104,0.11186440677966102,8,1,0.23508771929824562,14,2.456140350877193,Q96PU5,Q96PU5,,NEDD4L,False,975
612,546,0.8921568627450981,94.54338827838828,1.3985688621890149,0.2775800711743772,0.06761565836298933,8,2,0.1978021978021978,31,5.677655677655678,Q96Q07,Q96Q07,,BTBD9,False,612
263,232,0.8821292775665399,93.15788793103447,1.2287571826754164,0.32456140350877194,0.07017543859649122,11,2,0.2025862068965517,19,8.189655172413794,Q99619,Q99619,,SPSB2,False,263
635,525,0.8267716535433071,93.6860761904762,1.7355412956702947,0.2958801498127341,0.0898876404494382,8,5,0.20952380952380953,21,4.0,Q96Q27,Q96Q27,,ASB2,False,635
1004,320,0.3187250996015936,83.46796875,2.1335867175671757,0.37554585152838427,0.12663755458515283,10,8,0.175,10,3.125,Q96QT6,Q96QT6,,PHF12,False,1004
527,230,0.4364326375711575,90.72508695652172,1.579414366869646,0.3125,0.0859375,8,1,0.2,12,5.217391304347826,Q96RE7,Q96RE7,,NACC1,False,527
372,256,0.6881720430107527,93.07765625,1.1912938356399536,0.23809523809523808,0.10317460317460317,6,1,0.19921875,20,7.8125,Q96RU8,Q96RU8,,TRIB1,False,372
790,521,0.6594936708860759,91.06506717850287,1.4440168131330138,0.2868217054263566,0.13178294573643412,13,3,0.22072936660268713,54,10.36468330134357,Q96S15,Q96S15,,WDR24,False,790
281,185,0.6583629893238434,90.06999999999998,1.1944730277663933,0.325,0.0875,6,1,0.2,11,5.9459459459459465,Q96S21,Q96S21,,RAB40C,False,281
729,442,0.6063100137174211,93.66511312217193,1.4644458955721829,0.31020408163265306,0.08571428571428572,12,2,0.2149321266968326,51,11.538461538461538,Q96S59,Q96S59,,RANBP9,False,729
283,207,0.7314487632508834,93.38584541062801,2.0961017051751174,0.33076923076923076,0.08461538461538462,6,3,0.16908212560386474,9,4.3478260869565215,Q96SI1,Q96SI1,,KCTD15,False,283
793,615,0.7755359394703657,89.70193495934959,1.2415866672915061,0.2607449856733524,0.054441260744985676,5,2,0.2048780487804878,36,5.853658536585367,Q96T88,Q96T88,,UHRF1,False,793
336,240,0.7142857142857143,89.809375,1.8767747338982934,0.35,0.06111111111111111,12,4,0.20416666666666666,11,4.583333333333333,Q99496,Q99496,,RNF2,False,336
587,238,0.40545144804088584,90.66773109243697,1.4105603056428289,0.33793103448275863,0.06896551724137931,9,1,0.19747899159663865,12,5.042016806722689,Q96BF6,Q96BF6,,NACC2,False,587
237,204,0.8607594936708861,90.99794117647058,1.703541807502629,0.4066666666666667,0.08666666666666667,15,4,0.20588235294117646,16,7.8431372549019605,Q96A37,Q96A37,,RNF166,False,237
273,253,0.9267399267399268,94.97039525691697,1.2016607630687952,0.38095238095238093,0.0873015873015873,10,2,0.18972332015810275,13,5.138339920948617,Q96BD6,Q96BD6,,SPSB1,False,273
731,476,0.6511627906976745,91.56018907563025,1.3233980426363985,0.3153526970954357,0.07468879668049792,9,7,0.18277310924369747,12,2.5210084033613445,Q8NHY2,Q8NHY2,,COP1,False,731
188,176,0.9361702127659575,91.8105681818182,1.9379597851087242,0.3114754098360656,0.11475409836065574,6,3,0.2215909090909091,13,7.386363636363637,Q8NEA4,Q8NEA4,,FBXO36,False,188
526,416,0.7908745247148289,94.43923076923078,1.3622589781197383,0.2524271844660194,0.06796116504854369,5,1,0.20192307692307693,10,2.403846153846154,Q8NEA9,Q8NEA9,,GMCL2,False,526
735,660,0.8979591836734694,93.34789393939394,1.5562778753949913,0.30327868852459017,0.1092896174863388,15,4,0.12424242424242424,20,3.0303030303030303,Q8NEE6,Q8NEE6,,FBXL13,False,735
633,319,0.5039494470774092,90.77097178683385,1.5306419054595748,0.3240223463687151,0.0893854748603352,5,1,0.21003134796238246,15,4.702194357366771,Q8NEG5,Q8NEG5,,ZSWIM2,False,633
403,348,0.8635235732009926,91.69609195402299,1.1156922587418239,0.28,0.06666666666666667,14,2,0.1724137931034483,38,10.919540229885058,Q8NEZ5,Q8NEZ5,,FBXO22,False,403
601,538,0.8951747088186356,92.26756505576208,1.2596808981882055,0.26394052044609667,0.07434944237918216,7,1,0.2211895910780669,39,7.24907063197026,Q8NFY9,Q8NFY9,,KBTBD8,False,601
1043,788,0.7555129434324065,90.35615482233504,1.0861886513442272,0.27793696275071633,0.09169054441260745,7,1,0.20812182741116753,24,3.0456852791878175,Q8NFZ0,Q8NFZ0,,FBH1,False,1043
486,434,0.8930041152263375,91.36794930875577,2.474735137615727,0.3488372093023256,0.046511627906976744,14,6,0.195852534562212,12,2.7649769585253456,Q8NG06,Q8NG06,,TRIM58,False,486
643,100,0.15552099533437014,87.38529999999999,2.3983814239501955,0.5263157894736842,0.06578947368421052,17,2,0.18,5,5.0,Q8NG27,Q8NG27,,PJA1,False,643
242,84,0.34710743801652894,92.12202380952381,1.6742350661570249,0.3709677419354839,0.06451612903225806,6,2,0.16666666666666666,5,5.952380952380952,Q8NHG8,Q8NHG8,,ZNRF2,False,242
1336,767,0.5741017964071856,91.41105606258148,1.3205647788836217,0.2698412698412698,0.07142857142857142,11,2,0.19165580182529335,34,4.432855280312908,Q8NHM5,Q8NHM5,,KDM2B,False,1336
85,48,0.5647058823529412,89.16645833333332,3.3874388006347065,0.3333333333333333,0.041666666666666664,7,2,0.0625,2,4.166666666666666,Q8NHZ8,Q8NHZ8,,CDC26,False,85
74,36,0.4864864864864865,83.87666666666667,2.124747117360433,0.5,0.1111111111111111,14,1,0.1388888888888889,2,5.555555555555555,Q96B49,Q96B49,,TOMM6,False,74
283,251,0.8869257950530035,95.472390438247,1.394399100330278,0.3383458646616541,0.10526315789473684,8,3,0.21912350597609562,24,9.56175298804781,Q8NI29,Q8NI29,,FBXO27,False,283
745,336,0.45100671140939597,89.64431547619047,1.7612915544604963,0.41706161137440756,0.11374407582938388,8,4,0.23809523809523808,32,9.523809523809524,Q8TB52,Q8TB52,,FBXO30,False,745
728,492,0.6758241758241759,88.25686991869918,1.3287755343369563,0.29545454545454547,0.10984848484848485,4,0,0.22154471544715448,24,4.878048780487805,Q8TBB1,Q8TBB1,,LNX1,False,728
542,242,0.44649446494464945,84.39165289256198,1.988354668918884,0.4342857142857143,0.13142857142857142,37,2,0.1859504132231405,9,3.71900826446281,Q8TC41,Q8TC41,,RNF217,False,542
367,260,0.7084468664850136,88.56276923076923,1.3374011284555067,0.2972972972972973,0.11486486486486487,9,1,0.18461538461538463,7,2.6923076923076925,Q8TCJ0,Q8TCJ0,,FBXO25,False,367
289,160,0.5536332179930796,90.629875,2.274504885028781,0.4351145038167939,0.1297709923664122,21,2,0.23125,8,5.0,Q8TCQ1,Q8TCQ1,,MARCHF1,False,289
740,550,0.7432432432432432,89.12689090909092,1.5814113361950592,0.25862068965517243,0.07758620689655173,6,2,0.16363636363636364,11,2.0,Q8TDB6,Q8TDB6,,DTX3L,False,740
546,425,0.7783882783882784,94.23098823529412,1.038420501205794,0.26285714285714284,0.12,5,1,0.16941176470588235,21,4.941176470588235,Q8TEB1,Q8TEB1,,DCAF11,False,546
428,278,0.6495327102803738,92.95424460431654,3.087256555197203,0.39325842696629215,0.12359550561797752,22,1,0.17625899280575538,18,6.474820143884892,Q8TEB7,Q8TEB7,,RNF128,False,428
729,251,0.3443072702331962,89.92972111553783,1.5374271973115343,0.3696969696969697,0.07878787878787878,8,4,0.2350597609561753,16,6.374501992031872,Q8TEC5,Q8TEC5,,SH3RF2,False,729
882,310,0.35147392290249435,91.3921935483871,1.534210197995617,0.31527093596059114,0.08866995073891626,9,2,0.23548387096774193,16,5.161290322580645,Q8TEJ3,Q8TEJ3,,SH3RF3,False,882
375,180,0.48,83.27194444444444,2.2569940096264123,0.1958041958041958,0.13286713286713286,5,2,0.15555555555555556,5,2.7777777777777777,Q8NE65,Q8NE65,,ZNF738,False,375
227,85,0.3744493392070485,93.03411764705884,1.6179352511026812,0.3870967741935484,0.06451612903225806,5,1,0.18823529411764706,4,4.705882352941177,Q8ND25,Q8ND25,,ZNRF1,False,227
703,318,0.4523470839260313,91.46490566037735,3.6525869784611835,0.33079847908745247,0.04182509505703422,6,4,0.1320754716981132,11,3.459119496855346,Q8ND24,Q8ND24,,RNF214,False,703
418,294,0.7033492822966507,91.74272108843536,1.620470227951199,0.30434782608695654,0.062111801242236024,8,2,0.20408163265306123,22,7.482993197278912,Q8NCT1,Q8NCT1,,ARRDC4,False,418
247,142,0.5748987854251012,86.79281690140844,1.9906828195297808,0.4954954954954955,0.14414414414414414,40,1,0.19014084507042253,8,5.633802816901409,Q8N6D2,Q8N6D2,,RNF182,False,247
132,41,0.3106060606060606,83.67317073170732,2.4615719749404685,0.6341463414634146,0.07317073170731707,14,2,0.17073170731707318,4,9.75609756097561,Q8N726,Q8N726,,CDKN2A,False,132
